timestamp,caller,receiver,duration_sec,location
2026-08-12 09:14:22,9899001101,9899002202,142,Andheri_W
2026-08-12 11:02:10,9899002202,9899003303,58,Dadar_E
2026-08-12 14:20:05,9899001101,9899002202,210,Andheri_W
2026-08-13 08:45:00,9899003303,9899004404,301,Kurla_W
2026-08-13 09:10:44,9899001101,9899002202,44,Andheri_W
2026-08-13 17:41:10,9899001101,9899002202,65,Andheri_W
2026-08-13 17:43:08,9899002202,9899003303,38,Dadar_E
2026-08-13 17:45:22,9899003303,9899004404,120,Kurla_W
2026-08-13 17:47:01,9899001101,9899002202,29,Andheri_W
2026-08-13 17:49:55,9899001101,9899002202,71,Andheri_W
2026-08-13 17:52:14,9899001101,9899002202,19,Andheri_W
2026-08-13 17:55:37,9899001101,9899002202,88,Andheri_W
2026-08-13 17:58:02,9899001101,9899002202,33,Andheri_W
2026-08-13 18:01:19,9899001101,9899002202,52,Andheri_W
2026-08-13 18:03:47,9899001101,9899002202,60,Andheri_W
2026-08-13 18:06:12,9899001101,9899002202,15,Andheri_W
2026-08-14 10:15:00,9899004404,9899005505,205,Powai
2026-08-14 12:40:33,9899005505,9899006606,90,Vashi
2026-08-14 15:12:19,9899002202,9899006606,140,Vashi
2026-08-15 09:00:00,9899001101,9899007707,60,Andheri_W
2026-08-15 09:30:00,9899007707,9899008808,180,Borivali_E
2026-08-15 11:20:00,9899003303,9899007707,95,Kurla_W
2026-08-16 08:10:00,9899006606,9899009909,220,Vashi
2026-08-16 09:45:00,9899009909,9899001101,75,Nashik_Rd
2026-08-16 13:05:00,9899004404,9899009909,130,Powai
2026-08-16 16:22:00,9899005505,9899008808,44,Vashi
2026-08-17 07:50:00,9899007707,9899009909,66,Borivali_E
